Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,2450AT18A100E,1,2450AT18A100E,
"C1, C2",0603,2,10p,
"C10, C11, C12, C3, C5, C6, C8",0603,7,100n,
C13,0402,1,1p5,
C7,0603,1,10u,
D1,0603,1,LED_SD,
D2,0603,1,LED_WiFi,
"IC1, IC2",QFN50P400X400X80-21N-D,2,ADG3245BCPZ,
IC3,AP733133SNG7,1,AP7331-33SNG-7,
J2,SD_Card,1,SD_Card,
J3,USB_C_PCB_Single-Side,1,USB_C_Receptacle_USB2.0,
J4,503398-1892,1,503398-1892,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Reset,
JP2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ESP_Power_Select,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Boot,
"L1, L2",0603,2,2n2,
"L3, L4",0402,2,2n2,
"R1, R6",0603,2,1k,
"R3, R5, R7, R8, R9",0603,5,5k1,
R4,0603,1,0R,
TP1,TestPoint_Pad_D1.5mm,1,TX,
TP2,TestPoint_Pad_D1.5mm,1,RX,
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,
